id,course_name,school_name,school_id,faculty_name,faculty_id,enroll_count,start_time,end_time,deleted
1466073227,金融风险管理,南京大学,9002,刘烨,1147124752,142.0,1708909200000,1719504000000,False
1465971171,最优化理论与方法,南京大学,9002,徐薇,5425786,101.0,1709253000000,1720972800000,False
1465578174,Java Based Object-oriented Programming Paradigm,南京大学,9002,刘钦,1017042990,119.0,1677747600000,1688054400000,False
1465603161,数字人文创新思维与方法,南京大学,9002,陈静,1499382713,17.0,1709092800000,1719676800000,False
1465510161,刑法总论-刑事惩罚篇,南京大学,9002,张淼,1449564742,351.0,1705712400000,1719417600000,False
1465509163,数据库开发技术,南京大学,9002,刘嘉,1383754774,151.0,1708390800000,1718380800000,False
1465378162,雷达气象,南京大学,9002,赵坤,1411519921,748.0,1676678400000,1688054400000,False
1465366161,Structural Biochemistry（结构生物化学）,南京大学,9002,杨荣武,1015733528,459.0,1637596800000,1643558400000,False
1465357163,Data Processing Using Python（用Python玩转数据）,南京大学,9002,张莉,1015734564,1342.0,1637280000000,1643124600000,False
1465365161,Metabolic Biochemistry（代谢生物化学）,南京大学,9002,杨荣武,1015733528,397.0,1637546400000,1643644800000,False
1465330161,Cell Biology Experiments（细胞生物学实验）,南京大学,9002,薛雅蓉,1406610012,604.0,1637114400000,1646150400000,False
1465316161,"Understanding Geography:Human,Land&Ocean走进地理学",南京大学,9002,李满春,1017192269,228.0,1702168200000,1706976000000,False
1464941173,计算机系统基础（五）：x86模拟器编程实践,南京大学,9002,汪亮,1419024087,1422.0,1661133600000,1672416000000,False
1464509172,研究生学术规范与学术诚信,南京大学,9002,张亮,1015734455,8491.0,1692493200000,1711899000000,False
1464485161,研究生心理适应与卓越发展,南京大学,9002,陈昌凯,1015733610,11.0,1709253000000,1717689600000,False
1464307169,遗传学实验,南京大学,9002,黄亚红,1150972744,55.0,1708907400000,1719676800000,False
1464297166,21世纪国外马克思主义哲学若干重大问题研究,南京大学,9002,孙乐强,8908787,44.0,1709512200000,1719590400000,False
1464262167,高级英语视听,南京大学,9002,王文宇,1028813387,144.0,1709600400000,1720152000000,False
1464254163,人体解剖学,南京大学,9002,董平,1022639647,940.0,1706144400000,1714838400000,False
1464242167,环境学,南京大学,9002,柏益尧,1476828476,77.0,1708617600000,1722268800000,False
1464249167,大学生劳动教育,南京大学,9002,胡大平,1476836674,187.0,1710118800000,1718553600000,False
1464101167,建筑设计基础,南京大学,9002,刘铨,1449794900,107.0,1709085600000,1719759600000,False
1464108170,环境工程基础实验,南京大学,9002,王津南,1475507166,522.0,1677808800000,1688137200000,False
1464127165,传播理论前沿,南京大学,9002,胡翼青,1471902722,1862.0,1694570400000,1704812400000,False
1464117168,语用学导论,南京大学,9002,陈新仁,1410745302,184.0,1709863200000,1719759600000,False
1463798162,演化——地球生命简史,南京大学,9002,史宇坤,1412203674,152.0,1708653600000,1718550000000,False
1463195163,应用统计与R语言,南京大学,9002,陈彩华,1463861805,294.0,1708912800000,1719759600000,False
1463202161,视觉人文,南京大学,9002,李健,1449532603,90.0,1709690400000,1719759600000,False
1463188163,工艺人文,南京大学,9002,李牧,1449568715,810.0,1619056800000,1646924400000,False
1463106169,环境科学统计与建模方法,南京大学,9002,王遵尧,1463343617,4.0,1709253000000,1719676800000,False
1462657165,英语口语进阶,南京大学,9002,程欣,1402529333,775.0,1708912800000,1718638200000,False
1462205163,土壤环境化学,南京大学,9002,郭红岩,1450951943,89.0,1708909200000,1719331200000,False
1462125163,应急管理原理,南京大学,9002,张海波,1449749341,614.0,1694138400000,1708869600000,False
1462104166,日语学习难点解析,南京大学,9002,庄倩,1448008395,10.0,1709512200000,1719676800000,False
1462103162,智能硬件创意制作,南京大学,9002,方元,1449623593,72.0,1708304400000,1719676800000,False
1462096166,自动化测试,南京大学,9002,房春荣,1414439795,481.0,1694484000000,1704110400000,False
1462106164,法理学,南京大学,9002,艾佳慧,1141613207,2452.0,1663372800000,1675180800000,False
1462100169,马克思主义哲学史·马克思恩格斯的哲学探索,南京大学,9002,周嘉昕,1015734483,46.0,1710117000000,1719504000000,False
1462114167,英语成长小说,南京大学,9002,方红,1385297683,33.0,1709105400000,1719761400000,False
1462125162,口腔医学人文学概论,南京大学,9002,王磊,1449619532,249.0,1695171600000,1706630400000,False
1462107163,建构设计-材料·构造·结构,南京大学,9002,傅筱,1449577916,574.0,1677204000000,1687618800000,False
1462082163,量子化学,南京大学,9002,黎书华,1449575876,202.0,1708650000000,1719417600000,False
1462051167,基础西班牙语：语音与会话,南京大学,9002,谭薇,1435348348,73.0,1708909200000,1719570600000,False
1462058168,人生在“世”：人与世界关系的哲学思考,南京大学,9002,张异宾,1449604802,106.0,1709690400000,1719759600000,False
1462068162,大学生美育讲堂（上篇）,南京大学,9002,周宪,1494496809,2605.0,1696212000000,1703516400000,False
1462080161,大学生美育讲堂（下篇）,南京大学,9002,何成洲,1537270131,1493.0,1696212000000,1703516400000,False
1462069163,数字资源管理技术,南京大学,9002,欧石燕,1449591357,235.0,1710030600000,1719676800000,False
1462057165,环境毒理学,南京大学,9002,李梅,1150550146,4.0,1709685000000,1719676800000,False
1462056162,编辑出版学概论,南京大学,9002,张志强,1449515561,48.0,1708907400000,1719417600000,False
1462060166,法国经济,南京大学,9002,王晶,1398530277,32.0,1708821000000,1719761400000,False
1462058164,大学法语：法语语法基础,南京大学,9002,周越,1408267717,285.0,1708907400000,1719847800000,False
1462066161,化学的基石：原子与分子,南京大学,9002,芦昌盛,1414939434,557.0,1694224800000,1709136000000,False
1462060162,数字营销,南京大学,9002,郑丽勇,1449564536,893.0,1681974000000,1688054400000,False
1462062161,近世代数,南京大学,9002,孙智伟,1449526559,182.0,1709517600000,1717513200000,False
1462048162,做新闻,南京大学,9002,王辰瑶,1449564270,6729.0,1616029200000,1624982400000,False
1462057162,病理生理学,南京大学,9002,吴旭东,1440689625,70.0,1708821000000,1720972800000,False
1462027163,微积分I,南京大学,9002,张运清,1411569818,78.0,1708909200000,1720366200000,False
1462005166,英语论辩与思辨,南京大学,9002,于江,1028809424,588.0,1609214400000,1614441600000,False
1462011164,物理问题的Ｃ语言实现,南京大学,9002,马国斌,1019765532,62.0,1708909200000,1718294400000,False
1462008165,Quantitative Information Analysis,南京大学,9002,李江,1409207241,91.0,1694743200000,1703952000000,False
1462034162,日地空间环境探索,南京大学,9002,李川,1387418801,136.0,1618185600000,1624845600000,False
1462020163,中国思想经典,南京大学,9002,陈兵,1449636203,766.0,1693526400000,1703952000000,False
1462026162,大学生心理健康,南京大学,9002,费俊峰,1020243382,7572.0,1632103200000,1642608000000,False
1462021162,德语语法：精讲精解与精练,南京大学,9002,常晅,1150422297,134.0,1708907400000,1719763200000,False
1461812179,认识中国,南京大学,9002,张生,1449259559,12.0,1709285400000,1719676800000,False
1461797179,马克思主义基本原理,南京大学,9002,陈建,1413488131,2881.0,1677456000000,1687707000000,False
1461811176,量子信息原理与应用,南京大学,9002,吴盛俊,1448465814,617.0,1693792800000,1704034800000,False
1461786179,识物明理话自然,南京大学,9002,王骏,1448501819,824.0,1609120800000,1640962800000,False
1461782175,英语演讲技巧：以莎剧为例,南京大学,9002,陈星,1409646127,66.0,1708999200000,1718377200000,False
1461810186,湿地生态学,南京大学,9002,周长芳,1388941206,167.0,1708999200000,1720539000000,False
1461781181,海洋气象学,南京大学,9002,胡海波,1149771366,113.0,1708826400000,1719759600000,False
